serial_no,gender,dept_flg,area_flg,cntr_flg,agent_level,agent_status,fyp_month_avg,persistence_prem_25,salary_ded_ratio,xagfd_flag,xagdt_flag,age,register_until_now,bill_invalid_ratio,bill_invalid_cnt,agent_own_plcy,one_year_claim_plcy_cnt,one_year_claim_plcy_ratio,addr_not_vld_rate,comm_amount_1y_rate,pc_in_60_days_rate,lapse_2y_rate,cusp_own_flag,cusp_intr_flag,rule1_counts,rule2_counts,rule3_counts,rule4_counts,rule5_counts,rule6_counts,rule7_counts,rule8_counts,rule9_counts,rule10_counts,rule11_counts,rule12_counts,rule13_counts,rule14_counts,rule15_counts,rule16_counts,rule17_counts,rule18_counts,rule19_counts,rule20_counts,rule21_counts,rule22_counts,rule23_counts,rule24_counts,rule25_counts,rule26_counts,rule27_counts,rule28_counts,rule29_counts,rule30_counts,rule31_counts,rule32_counts,rule33_counts,rule34_counts,rule35_counts,rule36_counts,rule37_counts,rule38_counts,rule39_counts,abnormal_target,fyp_month_avg_missing_flag,persistence_prem_25_missing_flag,salary_ded_ratio_missing_flag,age_missing_flag,register_until_now_missing_flag,bill_invalid_ratio_missing_flag,bill_invalid_cnt_missing_flag,agent_own_plcy_missing_flag,one_year_claim_plcy_cnt_missing_flag,one_year_claim_plcy_ratio_missing_flag,addr_not_vld_rate_missing_flag,comm_amount_1y_rate_missing_flag,pc_in_60_days_rate_missing_flag,lapse_2y_rate_missing_flag,rule1_counts_missing_flag,rule2_counts_missing_flag,rule3_counts_missing_flag,rule4_counts_missing_flag,rule5_counts_missing_flag,rule6_counts_missing_flag,rule7_counts_missing_flag,rule8_counts_missing_flag,rule9_counts_missing_flag,rule10_counts_missing_flag,rule11_counts_missing_flag,rule12_counts_missing_flag,rule13_counts_missing_flag,rule14_counts_missing_flag,rule15_counts_missing_flag,rule16_counts_missing_flag,rule17_counts_missing_flag,rule18_counts_missing_flag,rule19_counts_missing_flag,rule20_counts_missing_flag,rule21_counts_missing_flag,rule22_counts_missing_flag,rule23_counts_missing_flag,rule24_counts_missing_flag,rule25_counts_missing_flag,rule26_counts_missing_flag,rule27_counts_missing_flag,rule28_counts_missing_flag,rule29_counts_missing_flag,rule30_counts_missing_flag,rule31_counts_missing_flag,rule32_counts_missing_flag,rule33_counts_missing_flag,rule34_counts_missing_flag,rule35_counts_missing_flag,rule36_counts_missing_flag,rule37_counts_missing_flag,rule38_counts_missing_flag,rule39_counts_missing_flag,true_label,predicted_label,seed,t0p1,t1p0
agnt_1013,1,1,23,32,32,0,106181.35,97.13,33.33,1,1,39,14,0.0,0.0,9,6,0.03,0.01,0.43,0.84,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0
agnt_3369,0,3,17,30,31,4,60200.53,94.42,33.33,1,0,60,17,0.01,1.0,6,11,0.03,0.01,0.33,0.73,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0
agnt_1805,0,2,4,28,26,0,280876.56,63.1,33.33,0,1,42,7,0.0,0.0,23,0,0.0,0.07,0.29,0.63,0.0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,16,1,0,1,18,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1
agnt_0487,0,3,12,19,33,0,82224.06,100.0,33.33,1,1,61,28,0.02,1.0,1,4,0.03,0.0,0.12,0.57,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0
agnt_0348,0,1,9,3,33,0,27547.96,69.06,33.33,1,0,66,28,0.02,1.0,0,1,0.03,0.0,0.18,0.61,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0
agnt_2874,0,1,23,12,23,4,51724.95,94.42,33.33,1,1,63,27,0.02,1.0,4,1,0.01,0.03,0.25,0.22,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0
agnt_3338,0,4,2,14,26,0,133590.66,92.25,33.33,1,1,53,16,0.03,5.0,7,19,0.03,0.01,0.22,0.55,0.04,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,4,0,0,0,0,0,1,1,0,0,0,20,0,0,0,29,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1
agnt_3369,0,3,17,30,31,4,60200.53,94.42,33.33,1,0,60,17,0.01,1.0,6,11,0.03,0.01,0.33,0.73,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0
agnt_1234,0,1,23,32,14,0,162421.85,99.95,33.33,0,0,50,24,0.01,2.0,9,15,0.03,0.02,0.17,0.73,0.02,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,11,0,0,0,13,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1
agnt_3439,0,4,21,26,32,3,20584.7,0.0,33.33,1,1,37,3,0.02,1.0,15,3,0.08,0.25,0.06,0.83,0.38,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0
